Country,Year,Undernourishment,ChildWasting,ChildStunting,ChildMortality,GHI_Score
Senegal,2000,21.1,10.0,24.6,12.9,32.5
Sierra Leone,2000,50.0,11.6,38.7,22.4,57.8
Slovakia,2000,6.2,1.1,4.900000095367432,1.0,5.3
Solomon Islands,2000,11.2,7.1,31.1,3.1,18.9
Somalia,2000,70.0,19.3,33.6,17.2,64.3
South Africa,2000,3.6,4.5,26.6,7.1,17.1
Sri Lanka,2000,16.8,15.9,19.8,1.6,22.1
Suriname,2000,11.5,7.0,13.6,3.1,14.9
Syrian Arab Republic,2000,7.5,4.9,28.3,2.3,14.8
Tajikistan,2000,40.0,9.4,41.3,8.0,39.3
Tanzania (United Rep. of),2000,32.8,5.6,47.6,12.8,40.3
Thailand,2000,17.3,8.0,16.1,2.2,17.5
Togo,2000,28.8,12.0,31.6,12.0,37.6
Trinidad & Tobago,2000,10.3,5.2,5.3,2.9,11.2
Tunisia,2000,4.0,2.9,12.5,2.9,9.1
Türkiye,2000,12.9,3.0,17.4,3.7,14.8
Turkmenistan,2000,6.0,8.0,26.5,7.0,19.9
Uganda,2000,21.2,5.0,44.0,14.6,36.0
Ukraine,2000,2.7,8.2,22.6,1.8,12.8
United Arab Emirates,2000,1.25,1.1,1.600000023841858,1.1,2.5
Uruguay,2000,3.6,1.6,16.3,1.7,7.9
Uzbekistan,2000,19.0,9.0,29.0,6.1,25.7
Venezuela (Boliv. Rep. of),2000,14.1,3.9,17.6,2.2,14.3
Viet Nam,2000,19.5,9.0,41.1,3.0,25.7
Zambia,2000,50.3,5.9,52.1,15.3,51.2
Zimbabwe,2000,32.8,8.3,33.1,9.8,35.5
Afghanistan,2008,19.7,7.1,47.8,9.6,32.7
Albania,2008,7.3,9.6,22.8,1.6,15.3
Algeria,2008,5.0,4.1,15.1,3.0,10.8
Angola,2008,24.4,8.2,31.7,13.7,35.3
Argentina,2008,3.2,1.2,7.2,1.5,5.2
Armenia,2008,5.1,4.1,18.7,2.1,10.8
Azerbaijan,2008,1.25,6.8,22.2,4.3,14.1
Bangladesh,2008,16.9,17.5,44.4,5.4,32.5
Belarus,2008,1.25,1.4,3.5,0.7,2.5
Benin,2008,8.2,5.1,35.6,11.3,25.5
Bolivia (Plurinat. State of),2008,23.0,1.4,25.5,4.7,20.9
Bosnia & Herzegovina,2008,1.25,4.0,10.6,0.7,6.1
Botswana,2008,26.0,7.3,27.8,6.0,27.2
Brazil,2008,4.0,1.8,6.9,2.1,6.3
Bulgaria,2008,5.8,4.7,8.3,1.1,8.1
Burkina Faso,2008,15.4,11.3,38.0,13.3,34.4
Cabo Verde,2008,15.0,3.0,10.6,2.8,13.1
Cambodia,2008,12.1,9.1,40.8,5.1,24.7
Cameroon,2008,7.3,7.6,35.3,11.8,26.9
Central African Republic,2008,29.4,12.1,42.1,13.6,41.9
Chad,2008,24.7,16.3,40.3,15.5,43.8
Chile,2008,3.0,0.3,2.1,0.9,2.5
China,2008,3.9,2.6,10.4,1.8,7.3
Colombia,2008,11.1,0.9,14.1,2.0,10.3
Comoros,2008,15.4,8.4,38.0,5.9,25.7
Congo (Republic of),2008,34.9,8.0,27.8,6.9,32.2
Costa Rica,2008,3.0,0.7,6.3,1.1,2.5
Côte d'Ivoire,2008,17.5,14.3,31.5,10.9,33.2
Croatia,2008,1.25,1.0,3.5999999046325684,0.6,2.5
Dem. Rep. of the Congo,2008,27.7,10.4,44.5,12.2,39.5
Djibouti,2008,20.2,17.0,30.8,8.0,32.8
Dominican Republic,2008,14.7,2.3,8.6,3.5,12.8
Ecuador,2008,11.1,2.1,28.6,2.1,14.6
Egypt,2008,5.0,7.9,25.5,3.1,15.5
El Salvador,2008,9.7,1.6,19.9,2.0,11.6
Estonia,2008,1.25,1.4,1.5,0.5,2.5
Eswatini,2008,19.6,1.1,32.1,9.8,25.8
Ethiopia,2008,26.3,11.6,47.5,9.2,37.5
Fiji,2008,6.2,6.7,7.3,2.3,10.2
Gabon,2008,14.3,3.5,21.0,5.8,18.4
Gambia,2008,12.0,8.4,25.4,8.0,23.3
Georgia,2008,6.7,1.3,12.1,1.7,8.0
Ghana,2008,8.1,8.7,26.7,7.3,21.5
Guatemala,2008,18.1,1.0,50.7,3.8,23.8
Guinea,2008,17.7,7.2,35.5,12.7,31.9
Guinea-Bissau,2008,20.7,4.8,29.6,12.6,30.4
Guyana,2008,8.8,6.9,17.3,3.9,15.3
Haiti,2008,42.2,10.2,25.3,8.3,37.2
Honduras,2008,14.9,1.4,27.0,2.6,15.9
Hungary,2008,1.25,0.9,2.700000047683716,0.7,2.5
India,2008,15.3,20.0,45.8,6.5,34.6
Indonesia,2008,16.5,14.8,38.7,3.6,27.8
Iran (Islamic Republic of),2008,7.9,4.6,6.9,2.2,9.5
Iraq,2008,15.6,5.8,25.0,3.7,19.2
Jamaica,2008,8.5,2.6,6.2,1.9,8.3
Jordan,2008,6.6,1.6,8.8,2.0,7.6
Kazakhstan,2008,4.2,4.9,14.3,2.5,10.2
Kenya,2008,26.7,6.9,34.6,5.8,28.7
Korea (DPR),2008,40.5,5.2,33.8,3.1,30.8
Kuwait,2008,1.25,2.3,4.8,1.1,2.5
Kyrgyzstan,2008,8.6,1.4,19.6,3.4,12.2
Latvia,2008,1.25,1.6,2.4,0.9,2.5
Lebanon,2008,4.7,2.5,15.4,1.3,8.3
Liberia,2008,34.9,4.3,38.6,11.3,36.8
